title,desc,date,datetime,link,site
California Turns a Corner on Single-Family Zoning,"BERKELEY, CA - JUNE 15: A ""now leasing"" sign is posted in front of the Fourth and U apartments on June 15, 2012 in Berkeley, California. According to a report by Harvard University's Joint Center for Housing Studies, the tepid real estate market could see a turnaround with the price of rental properties surging and vacancies dropping from 10.6 percent in 2009 to 9.5 percent last year, the lowest level since 2002. (Photo by Justin Sullivan/Getty Images)",8 days ago,2021-03-01 13:42:30,news.google.com/./articles/CAIiEFV9b6iyyLLBrTEJzbUD0MoqGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-US&gl=US&ceid=US%3Aen,Bloomberg
YIMBYs wipe out in San Francisco 2018 election,"Voters say ""not in my backyard"" to YIMBYs at ballot box.",,,news.google.com/./articles/CAIiEKum6Gg2NjZWnkPWdGUZdNkqGQgEKhAIACoHCAow_JyCCzDd-v4CMIWD8wU?hl=en-US&gl=US&ceid=US%3Aen,
‘Homes for human beings’: Millennial-driven anti-NIMBY movement is winning with a simple message,California's unprecedented housing crisis has ushered a new power player onto the scene with a supply-and-demand message so succinct it could fit on a ...,,,news.google.com/./articles/CBMihQFodHRwczovL3d3dy5tZXJjdXJ5bmV3cy5jb20vMjAxNy8xMS8xMi9ob21lcy1mb3ItaHVtYW4tYmVpbmdzLW1pbGxlbm5pYWwtZHJpdmVuLWFudGktbmltYnktbW92ZW1lbnQtaXMtd2lubmluZy13aXRoLWEtc2ltcGxlLW1lc3NhZ2Uv0gGJAWh0dHBzOi8vd3d3Lm1lcmN1cnluZXdzLmNvbS8yMDE3LzExLzEyL2hvbWVzLWZvci1odW1hbi1iZWluZ3MtbWlsbGVubmlhbC1kcml2ZW4tYW50aS1uaW1ieS1tb3ZlbWVudC1pcy13aW5uaW5nLXdpdGgtYS1zaW1wbGUtbWVzc2FnZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,
Social Housing Is Becoming a Mainstream Policy Goal in the US,"Slowly but surely, the idea of social housing — a public housing model most commonly associated with the socialist government of “Red Vienna” — is moving ...",Feb 21,2021-02-21 08:00:00,news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LmphY29iaW5tYWcuY29tLzIwMjEvMDIvc29jaWFsLWhvdXNpbmctcHVibGljLWFmZm9yZGFibGUtY2FsaWZvcm5pYS1tYXJ5bGFuZNIBAA?hl=en-US&gl=US&ceid=US%3Aen,Jacobin magazine
YIMBY in action: How pro-housing policies became a political rallying cry,"Birthed by the housing crisis, can a push to build more homes become the centerpiece of a political coalition?",,,news.google.com/./articles/CBMiaGh0dHBzOi8vYXJjaGl2ZS5jdXJiZWQuY29tLzIwMTkvNi8yOC8xOTE1NDE0Ni95aW1ieS1yZWFsLWVzdGF0ZS1ob3VzaW5nLWFwYXJ0bWVudC1yZW50LWRldmVvcG1lbnQtem9uaW5n0gEA?hl=en-US&gl=US&ceid=US%3Aen,
Op-Ed: Let's Get Serious About Housing – Streetsblog San Francisco,"Over the last several years, local environmental organizations and their endorsed candidates have ratcheted up ambitions for tackling the climate crisis. We are ...",Oct 21,2020-10-21 07:00:00,news.google.com/./articles/CBMiRWh0dHBzOi8vc2Yuc3RyZWV0c2Jsb2cub3JnLzIwMjAvMTAvMjEvbGV0cy1nZXQtc2VyaW91cy1hYm91dC1ob3VzaW5nL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Streetsblog San Francisco
State Housing Mandate Doubles What Bay Area Needs to Build,"SAN JOSE — The Bay Area has a new assignment from the state: build nearly 450,000 homes in the next eight years or risk losing control over where they go.",Sep 10,2020-09-11 06:28:16,news.google.com/./articles/CAIiEMYpfuHz9Dy95HL_36RC8KsqGQgEKhAIACoHCAowp-uFCzCYoYMDMJyCiQY?hl=en-US&gl=US&ceid=US%3Aen,CBS San Francisco
"How exclusionary zoning laws contribute to housing segregation, explained","More than 50 years after passage of the Fair Housing Act, it's time to sue the suburbs.",Feb 17,2021-02-17 13:00:00,news.google.com/./articles/CAIiEExlrshkRijwY5WANulLyVkqGAgEKg8IACoHCAowlOzSATCaiDUwjdnoBQ?hl=en-US&gl=US&ceid=US%3Aen,Vox.com
SF Election May Tilt Board of Supervisors in Mayor Breed's Favor,"Mayor London Breed and San Francisco's Board of Supervisors largely agree on the city's most pernicious problems — the pandemic, the rental crisis, ...",Nov 5,2020-11-05 17:19:00,news.google.com/./articles/CAIiEN2Vfiy-68SclCA68yfRSToqGAgEKg8IACoHCAowtbypAjDOrCsw-8SeBg?hl=en-US&gl=US&ceid=US%3Aen,KQED
Housing Advocate Founds New Organization,Sonja Trauss' new nonprofit will continue focus on suing suburbs into building more housing. Where it fits into the YIMBY movement is less clear.,,,news.google.com/./articles/CBMiNWh0dHBzOi8vd3d3LnNmd2Vla2x5LmNvbS9uZXdzL3NvbmphLXRyYXVzcy15aW1ieS1sYXcv0gE5aHR0cHM6Ly93d3cuc2Z3ZWVrbHkuY29tL25ld3Mvc29uamEtdHJhdXNzLXlpbWJ5LWxhdy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,
